Código,Nombre,Descripción,Departamento,Responsable,Prioridad,% Completado,Fecha Inicio,Fecha Límite,Bloqueador,Siguiente Acción,Etiquetas,Link Documento
I-01,Mapa BD + Foreign Keys,Mapear FKs y ER diagram con RLS policies,Tecnología,Claude,Alta,30,2026-04-15,2026-04-29,None,"Mapear FKs+ER+RLS","#spike,#sql","github.com/.../STATUS.md"
I-02,Visualización informes,Decidir consumidor y estrategia de reportes,Gerencia General,Dusan,Media,10,2026-04-15,2026-05-15,None,"Decidir consumidor (dashboard/reportes)","#spike,#bi",""
I-03,Evaluación BI tools,Contrastar contexto y seleccionar herramienta BI,Tecnología,Dusan,Media,20,2026-04-15,2026-05-10,None,"Contrastar contexto","#spike,#bi",""
I-04,Tracker temas (sistema),Sistema de seguimiento centralizado en Supabase,Tecnología,Claude,Alta,90,2026-04-15,2026-04-30,None,"Pablo wireara n8n + validar","#spike,#supabase",""
I-05,Panel admin temas,Panel administrativo para gestión de temas,Tecnología,Claude,Media,30,2026-04-15,2026-05-10,None,"Esperando green light build","#spike,#ux","docs/"
I-06,Ecosistema integrado,Alinear integración entre I-02 e I-03,Gerencia General,Dusan,Media,15,2026-04-15,2026-05-20,None,"Alinear I-02 + I-03","#spike",""
I-07,Evaluación diagramas (ECharts),Evaluar diagramas ECharts para I-05,Tecnología,Claude,Baja,10,2026-04-15,2026-05-20,None,"Definir ECharts","#spike",""
I-08,Rotación keys (K3+Meta),🔴 CRÍTICA - Rotar credenciales,Tecnología,Dusan,🔴 CRÍTICA,10,2026-04-20,2026-04-22,None,"EJECUTAR HOY - rotar K3 + Meta","#urgente,#security",""
I-09,Infra VPS + hub,Infraestructura VPS y hub central,Tecnología,Pablo,Alta,40,2026-04-15,2026-04-28,I-08 - Keys,"Contratar DO + deploy","#spike,#infra",""
I-10,Sprint ventas Q2,Sprint comercial Q2 2026,Comercial,Dusan,Alta,40,2026-04-15,2026-04-28,None,"Enviar 30 msgs + demos Diego","#spike","PENDIENTES.md"
I-11,Asistente Comercial Integrado,Integración asistente comercial con Diego,Tecnología,Pablo,Alta,50,2026-04-15,2026-05-05,I-09 - VPS,"Validar integracion n8n","#spike,#api",""
I-12,Diego v5.0 Live (lanzamiento),🚀 LANZAMIENTO OFICIAL v5.0,Gerencia General,Dusan,🔴 CRÍTICA,30,2026-04-15,2026-04-30,N8N_API_KEY,"Completar validaciones + deploy","#urgente,#diego",""
I-13,Deuda técnica,Resolver deuda técnica (11 subtareas post 30-abr),Tecnología,Pablo,Baja,5,2026-04-15,2026-05-20,None,"Planificar 11 subtareas","#spike,#refactor",""
I-14,Blindaje Diego,Seguridad: PUK SIM + 2FA Meta,Tecnología,Dusan,Media,10,2026-04-15,2026-06-30,None,"Implementar PUK + 2FA","#security",""
I-15,Notion Plus,Contratar workspace Notion Plus,Finanzas,Dusan,Media,0,2026-04-15,2026-04-25,None,"CONTRATAR HOY","#spike",""
I-16,Diego v5.1 (post v5.0),Iteración v5.1 post v5.0 estable,Tecnología,Pablo,Media,0,2026-04-30,2026-05-15,I-12 - v5.0 stable,"Esperar v5.0 stable","#diego",""
I-17,Docs Mermaid+ECharts,Documentación con diagramas Mermaid + ECharts,Tecnología,Claude,Baja,20,2026-04-15,2026-06-01,None,"Post I-05 build","#spike,#docs",""
I-18,Contrato Resimple,Revisar y actualizar contrato Resimple 2026,Comercial,Dusan,Media,0,2026-04-15,2026-05-10,None,"Revisar vigencia 2026","#spike,#legal",""
I-19,Plan 2026-2030,Plan operativo y estratégico 2026-2030,Gerencia General,Dusan,Alta,30,2026-04-15,2026-04-30,None,"Alinear con I-10 + I-12","#spike,#strategy",""
I-20,Propuestas comerciales,Revisar 8 propuestas activas,Comercial,Dusan,Media,10,2026-04-15,2026-05-15,None,"Revisar 8 propuestas","#spike",""
I-21,Puerto Montt operations,Operaciones Puerto Montt (permisos SAG),Operaciones,Dusan,Baja,20,2026-04-15,2026-06-30,None,"Revisar permisos + roadmap","#spike",""
I-22,Guía Chatbot,Documentación y guía ChatBot,Comercial,Dusan,Media,25,2026-04-15,2026-06-01,None,"Deploy post 30-abr","#docs,#chatbot",""
I-23,Implementación Monday.com,👈 HOY - Cargar estructura en Monday.com,Tecnología,Claude,Media,0,2026-05-03,2026-05-10,None,"Crear tableros + cargar 37 temas","#spike,#monday",""
I-24,Descripción de cargos,Consolidar 3 descripciones de cargo,Recursos Humanos,Dusan,Baja,20,2026-04-15,2026-06-01,None,"Consolidar 3 cargos","#spike",""
I-25,Permisos Talca,Revisar vigencia de permisos Talca,Legal y Compliance,Dusan,Baja,30,2026-04-15,2026-06-01,None,"Revisar permisos","#spike,#legal",""
P1,Mergear PR URLs cortas,PR de URLs cortas (#3) a main,Tecnología,Claude,Alta,90,2026-04-18,2026-04-25,None,"Dusan aprueba merge a main","#spike,#api","github.com/.../vercel.json"
P2,PATCH Diego - coordinación equipo,🔴 CRÍTICA - Patch para coordinación equipo,Tecnología,Claude,🔴 CRÍTICA,0,2026-04-20,2026-05-05,N8N_API_KEY,"Entregar API key + aplicar patch","#urgente,#diego","PENDIENTES.md"
P3,Difundir página /coordinar-equipo,Difundir URL a equipo (3 variantes WhatsApp),Comercial,Dusan,Media,20,2026-04-20,2026-05-05,None,"Redactar 3 variantes + enviar","#spike","PENDIENTES.md"
P4,Monitoreo semanal Diego,Monitoreo semanal (viernes) de Diego,Tecnología,Claude,Baja,50,2026-04-15,2026-06-30,None,"Revisar tabla conversaciones","#spike,#diego",""
P5,Iteración v4.3 - 26 bugs,Aplicar 26 fixes a prompt Diego,Tecnología,Claude,🔴 CRÍTICA,0,2026-04-20,2026-05-05,N8N_API_KEY,"Entregar API key + refactor prompt","#urgente,#diego","PENDIENTES.md"
P6,Humanización Diego v4.4,Calidez y comentarios ligeros (diferida),Tecnología,Claude,Baja,0,2026-05-05,2026-05-15,P5 - v4.3 stable,"Esperar v4.3 estable","#spike,#diego","PENDIENTES.md"
